"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price","neighbourhood_cleansed","room_type","accommodates","beds","minimum_nights","maximum_nights","has_availability","review_scores_checkin","review_scores_communication"
"14193","99%",FALSE,"Room in boutique hotel","within an hour",10,5,353,5,4.8,1,1465,"Miguel Hidalgo","Private room",2,NA,2,1125,TRUE,4.8,4.8
"14194","N/A",TRUE,"Entire condo","N/A",1,5,0,5,5,1,2143,"Miguel Hidalgo","Entire home/apt",4,1,3,365,TRUE,5,5
"14195","100%",TRUE,"Entire rental unit","within an hour",60,4.8,50,4.83,4.73,2,1091,"Miguel Hidalgo","Entire home/apt",4,2,1,1125,TRUE,4.73,4.73
"14196","97%",TRUE,"Entire condo","within an hour",76,4.91,91,4.95,4.97,2,1250,"Benito Juárez","Entire home/apt",4,2,2,1125,TRUE,4.97,4.97
"14197","100%",TRUE,"Entire rental unit","within an hour",29,4.69,337,4.76,4.69,1,1165,"Cuauhtémoc","Entire home/apt",2,1,4,120,TRUE,4.69,4.69
"14198","93%",TRUE,"Entire condo","within a few hours",43,4.6,351,5,4.74,1,1089,"Miguel Hidalgo","Entire home/apt",4,2,2,365,TRUE,4.74,4.74
"14199","88%",TRUE,"Private room in rental unit","within an hour",30,4.77,356,4.9,4.73,1,850,"Cuauhtémoc","Private room",2,1,1,365,TRUE,4.73,4.73
"14200","99%",TRUE,"Entire rental unit","within an hour",5,5,84,5,5,1,771,"Venustiano Carranza","Entire home/apt",2,1,1,1125,TRUE,5,5
"14201","92%",TRUE,"Entire serviced apartment","within a few hours",4,4.5,90,4.5,4.5,1,1380,"Miguel Hidalgo","Entire home/apt",4,2,2,365,TRUE,4.5,4.5
"14202","40%",TRUE,"Private room in rental unit","within a few hours",6,4.67,240,5,5,2,286,"Benito Juárez","Private room",1,1,1,30,TRUE,5,5
"14203","98%",TRUE,"Entire rental unit","within a few hours",37,4.95,133,4.95,4.7,1,1403,"Cuauhtémoc","Entire home/apt",3,2,2,1125,TRUE,4.7,4.7
"14204","100%",TRUE,"Entire rental unit","within an hour",44,4.89,358,4.86,4.75,2,2033,"Cuauhtémoc","Entire home/apt",6,2,1,1125,TRUE,4.75,4.75
"14205","0%",TRUE,"Private room in condo","N/A",2,4,0,5,4.5,1,333,"Benito Juárez","Private room",4,3,1,365,TRUE,4.5,4.5
"14206","86%",TRUE,"Entire condo","within an hour",8,4.88,360,5,4.75,2,1550,"Benito Juárez","Entire home/apt",6,3,3,365,TRUE,4.75,4.75
"14207","99%",TRUE,"Entire rental unit","within an hour",52,4.73,338,4.9,4.56,2,3035,"Cuauhtémoc","Entire home/apt",6,3,1,1125,TRUE,4.56,4.56
"14208","100%",TRUE,"Entire condo","within an hour",75,4.43,349,4.85,4.6,2,1129,"Venustiano Carranza","Entire home/apt",8,4,1,1125,TRUE,4.6,4.6
"14209","86%",TRUE,"Private room in rental unit","within an hour",15,4.67,267,4.73,4.47,1,500,"Benito Juárez","Private room",4,1,1,7,TRUE,4.47,4.47
